data,cost
2016-05-05,0.41
2016-05-06,3.27
2016-05-07,1.23
2016-05-08,2.86
2016-05-09,10.62
2016-05-10,15.53
2016-05-11,6.13
2016-05-12,0.82
2016-05-13,0.41
2016-05-14,15.94
2016-05-15,2.45
2016-05-16,0.82
2016-05-17,0.82
2016-05-18,2.86
2016-05-19,0.41
2016-05-20,11.03
2016-05-21,11.03
2016-05-22,1.63
2016-05-23,17.98
2016-05-24,38.82
2016-05-25,37.6
2016-05-26,26.15
2016-05-27,16.35
2016-05-28,14.71
2016-05-29,17.98
2016-05-30,21.25
2016-05-31,18.39
2016-06-01,18.8
2016-06-02,20.84
2016-06-03,17.57
2016-06-04,12.67
2016-06-05,18.8
2016-06-06,23.7
2016-06-07,113.6
2016-06-08,56.39
2016-06-09,49.04
2016-06-10,26.97
2016-06-11,19.21
2016-06-12,22.88
2016-06-13,20.02
2016-06-14,24.93
2016-06-15,18.39
2016-06-16,18.8
2016-06-17,17.57
2016-06-18,9.81
2016-06-19,17.98
2016-06-20,14.71
2016-06-21,20.43
2016-06-22,13.49
2016-06-23,9.81
2016-06-24,10.22
2016-06-25,10.22
2016-06-26,8.99
2016-06-27,11.03
2016-06-28,13.08
2016-06-29,27.38
2016-06-30,13.08
2016-07-01,2.45
2016-07-02,2.04
2016-07-03,1.23
2016-07-04,6.95
2016-07-05,3.27
2016-07-06,0.82
2016-07-07,1.23
2016-07-08,2.86
2016-07-09,0.82
2016-07-10,2.86
2016-07-11,6.54
2016-07-12,3.68
2016-07-13,6.13
2016-07-14,7.36
2016-07-15,4.9
2016-07-16,4.9
2016-07-17,8.17
2016-07-18,21.66
2016-07-19,16.75
2016-07-20,6.13
2016-07-21,4.09
2016-07-22,6.54
2016-07-23,6.54
2016-07-24,4.5
2016-07-25,4.5
2016-07-26,4.9
2016-07-27,13.08
2016-07-28,2.86
2016-07-29,6.13
2016-07-30,2.04
2016-07-31,1.63
2016-08-01,6.95
2016-08-02,4.9
2016-08-03,7.76
2016-08-04,5.72
2016-08-05,1.23
2016-08-06,1.23
2016-08-07,1.63
2016-08-08,0.82
2016-08-09,0.82
2016-08-10,0.41
2016-08-11,1.23
2016-08-12,0.41
2016-08-13,0.41
2016-08-14,0.82
2016-08-15,0.82
2016-08-16,0.82
2016-08-17,0.41
2016-08-18,0.41
2016-08-19,0.41
2016-08-20,0.41
2016-08-21,0.41
2016-08-22,0.41
2016-08-23,0.41
2016-08-24,0.41
2016-08-25,0.82
2016-08-26,0.41
2016-08-27,0.41
2016-08-28,0.41
2016-08-29,2.04
2016-08-30,0.82
2016-08-31,2.45
2016-09-01,0.41
2016-09-02,0.82
2016-09-03,0.82
2016-09-04,0.41
2016-09-05,0.82
2016-09-06,0.41
2016-09-07,0.41
2016-09-08,0.41
2016-09-09,0.41
2016-09-10,1.23
2016-09-11,1.23
2016-09-12,0.82
2016-09-13,0.41
2016-09-14,0.41
2016-09-15,0.41
2016-09-16,0.41
2016-09-17,0.82
2016-09-18,1.63
2016-09-19,0.41
2016-09-20,0.41
2016-09-21,0.41
2016-09-22,1.23
2016-09-23,0.41
2016-09-24,0.41
2016-09-25,0.41
2016-09-26,0.41
2016-09-27,16.35
2016-09-28,12.67
2016-09-29,4.09
2016-09-30,6.13
2016-10-01,7.76
2016-10-02,3.68
2016-10-03,7.36
2016-10-04,3.27
2016-10-05,8.17
2016-10-06,3.27
2016-10-07,6.13
2016-10-08,21.25
2016-10-09,129.95
2016-10-10,36.37
2016-10-11,23.29
2016-10-12,19.21
2016-10-13,13.49
2016-10-14,6.13
2016-10-15,11.85
2016-10-16,20.02
2016-10-17,11.85
2016-10-18,4.5
2016-10-19,0.41
2016-10-20,6.95
2016-10-21,4.9
2016-10-22,6.54
2016-10-23,5.72
2016-10-24,10.62
2016-10-25,16.35
2016-10-26,23.29
2016-10-27,12.26
2016-10-28,13.08
2016-10-29,25.74
2016-10-30,39.64
2016-10-31,11.85
2016-11-01,4.09
2016-11-02,9.4
2016-11-03,9.4
2016-11-04,7.76
2016-11-05,18.39
2016-11-06,10.62
2016-11-07,6.13
2016-11-08,16.75
2016-11-09,9.81
2016-11-10,6.13
2016-11-11,2.45
2016-11-12,12.67
2016-11-13,7.36
2016-11-14,14.3
2016-11-15,15.12
2016-11-16,15.94
2016-11-17,10.62
2016-11-18,6.95
2016-11-19,8.58
2016-11-20,12.26
2016-11-21,15.94
2016-11-22,13.49
2016-11-23,10.62
2016-11-24,17.16
2016-11-25,25.34
2016-11-26,4.9
2016-11-27,7.76
2016-11-28,13.49
2016-11-29,17.57
2016-11-30,9.4
2016-12-01,9.4
2016-12-02,17.16
2016-12-03,6.95
2016-12-04,8.58
2016-12-05,9.4
2016-12-06,11.85
2016-12-07,10.22
2016-12-08,4.5
2016-12-09,3.68
2016-12-10,6.54
2016-12-11,9.81
2016-12-12,16.75
2016-12-13,6.95
2016-12-14,8.17
2016-12-15,9.4
2016-12-16,6.95
2016-12-17,5.31
2016-12-18,6.13
2016-12-19,8.58
2016-12-20,11.44
2016-12-21,12.26
2016-12-22,9.4
2016-12-23,6.54
2016-12-24,1.23
2016-12-25,1.63
2016-12-26,6.13
2016-12-27,11.03
2016-12-28,19.21
2016-12-29,37.19
2016-12-30,22.07
2016-12-31,6.13
2017-01-01,12.67
2017-01-02,37.6
2017-01-03,44.13
2017-01-04,22.07
2017-01-05,8.99
2017-01-06,12.67
2017-01-07,17.16
2017-01-08,21.66
2017-01-09,38
2017-01-10,50.67
2017-01-11,110.74
2017-01-12,127.09
2017-01-13,182.26
2017-01-14,266.44
2017-01-15,274.2
2017-01-16,263.17
2017-01-17,264.39
2017-01-18,215.36
2017-01-19,169.59
2017-01-20,158.55
2017-01-21,149.97
2017-01-22,236.2
2017-01-23,210.04
2017-01-24,242.73
2017-01-25,188.79
2017-01-26,140.57
2017-01-27,170
2017-01-28,159.37
2017-01-29,184.71
2017-01-30,146.29
2017-01-31,92.76
2017-02-01,105.84
2017-02-02,93.99
2017-02-03,98.07
2017-02-04,99.71
2017-02-05,320.38
2017-02-06,313.43
2017-02-07,301.58
2017-02-08,347.35
2017-02-09,331.41
2017-02-10,301.58
2017-02-11,156.92
2017-02-12,337.54
2017-02-13,407.01
2017-02-14,348.17
2017-02-15,456.86
2017-02-16,389.44
2017-02-17,417.23
2017-02-18,388.62
2017-02-19,494.46
2017-02-20,347.76
2017-02-21,449.51
2017-02-22,301.17
2017-02-23,230.48
2017-02-24,236.61
2017-02-25,215.36
2017-02-26,258.26
2017-02-27,219.85
