date,sessions,bounces,orders,revenue
2016-05-05,42,16,1,755.00
2016-05-06,81,36,1,54.00
2016-05-07,31,15,0,0.00
2016-05-08,74,38,1,69.00
2016-05-09,80,37,2,214.00
2016-05-10,112,49,0,0.00
2016-05-11,65,32,0,0.00
2016-05-12,70,18,1,60.00
2016-05-13,57,28,0,0.00
2016-05-14,90,39,0,0.00
2016-05-15,104,59,0,0.00
2016-05-16,114,46,2,145.00
2016-05-17,100,40,2,227.00
2016-05-18,106,56,2,305.00
2016-05-19,69,34,0,0.00
2016-05-20,110,53,0,0.00
2016-05-21,88,35,1,19.50
2016-05-22,47,23,1,70.00
2016-05-23,132,63,1,23.20
2016-05-24,223,116,2,93.00
2016-05-25,169,87,1,57.50
2016-05-26,130,67,0,0.00
2016-05-27,139,64,1,41.50
2016-05-28,126,53,0,0.00
2016-05-29,139,49,4,308.30
2016-05-30,177,82,4,288.88
2016-05-31,169,71,1,115.00
2016-06-01,159,73,0,0.00
2016-06-02,162,79,4,391.00
2016-06-03,136,55,1,38.50
2016-06-04,97,58,1,65.00
2016-06-05,220,89,2,360.90
2016-06-06,229,91,1,51.09
2016-06-07,1151,321,8,906.69
2016-06-08,557,169,5,524.09
2016-06-09,444,157,7,923.39
2016-06-10,222,76,3,181.17
2016-06-11,181,70,0,0.00
2016-06-12,251,131,5,355.98
2016-06-13,243,97,3,118.00
2016-06-14,279,107,2,139.00
2016-06-15,227,94,4,544.10
2016-06-16,181,73,2,114.45
2016-06-17,207,80,3,257.95
2016-06-18,135,65,1,127.50
2016-06-19,168,72,1,448.88
2016-06-20,329,111,5,280.01
2016-06-21,286,142,6,234.40
2016-06-22,187,76,0,0.00
2016-06-23,167,73,7,789.50
2016-06-24,126,58,2,62.30
2016-06-25,95,42,1,127.10
2016-06-26,156,68,0,0.00
2016-06-27,215,96,1,52.50
2016-06-28,214,89,4,431.00
2016-06-29,212,99,3,125.65
2016-06-30,149,56,3,275.90
2016-07-01,126,63,2,289.50
2016-07-02,90,53,0,0.00
2016-07-03,127,60,1,26.40
2016-07-04,177,88,2,244.50
2016-07-05,179,82,6,465.75
2016-07-06,163,75,5,917.15
2016-07-07,150,70,0,0.00
2016-07-08,141,59,4,558.02
2016-07-09,135,68,3,252.05
2016-07-10,134,43,3,381.50
2016-07-11,216,90,5,524.50
2016-07-12,183,93,2,220.25
2016-07-13,218,97,5,286.95
2016-07-14,190,84,7,824.40
2016-07-15,178,79,4,429.20
2016-07-16,136,61,2,242.10
2016-07-17,166,74,2,138.90
2016-07-18,277,110,5,534.50
2016-07-19,166,74,1,174.50
2016-07-20,76,28,2,210.70
2016-07-21,162,72,2,116.00
2016-07-22,172,91,3,563.50
2016-07-23,472,214,0,0.00
2016-07-24,279,115,3,63.40
2016-07-25,284,102,6,712.30
2016-07-26,260,103,11,1743.10
2016-07-27,251,108,8,918.85
2016-07-28,201,82,4,558.10
2016-07-29,258,119,6,825.50
2016-07-30,162,76,4,515.40
2016-07-31,175,83,2,163.00
2016-08-01,249,103,5,466.90
2016-08-02,238,110,6,670.70
2016-08-03,245,99,6,783.20
2016-08-04,200,104,6,1059.70
2016-08-05,29,13,3,190.85
2016-08-06,14,9,2,0.70
2016-08-07,28,15,0,0.00
2016-08-08,27,11,0,0.00
2016-08-09,22,8,0,0.00
2016-08-10,26,10,1,100.00
2016-08-11,21,10,0,0.00
2016-08-12,9,5,0,0.00
2016-08-13,14,5,1,302.00
2016-08-14,14,1,0,0.00
2016-08-15,13,2,3,393.60
2016-08-16,16,5,0,0.00
2016-08-17,15,2,2,238.75
2016-08-18,36,10,2,165.50
2016-08-19,23,2,1,115.70
2016-08-20,12,3,0,0.00
2016-08-21,13,4,0,0.00
2016-08-22,24,7,0,0.00
2016-08-23,17,7,1,59.00
2016-08-24,9,1,1,74.60
2016-08-25,14,2,2,465.30
2016-08-26,9,2,0,0.00
2016-08-27,4,1,0,0.00
2016-08-28,17,2,0,0.00
2016-08-29,21,3,1,51.40
2016-08-30,26,10,1,69.00
2016-08-31,20,9,3,313.70
2016-09-01,12,4,1,420.00
2016-09-02,13,5,1,99.50
2016-09-03,10,4,0,0.00
2016-09-04,8,4,0,0.00
2016-09-05,25,9,0,0.00
2016-09-06,15,4,1,92.00
2016-09-07,12,3,0,0.00
2016-09-08,4,1,0,0.00
2016-09-09,8,2,0,0.00
2016-09-10,7,2,0,0.00
2016-09-11,9,5,0,0.00
2016-09-12,13,6,0,0.00
2016-09-13,10,4,0,0.00
2016-09-14,12,1,0,0.00
2016-09-15,8,0,0,0.00
2016-09-16,6,0,0,0.00
2016-09-17,4,1,0,0.00
2016-09-18,8,2,1,154.00
2016-09-19,6,1,1,129.00
2016-09-20,9,4,0,0.00
2016-09-21,12,2,0,0.00
2016-09-22,3,0,1,63.00
2016-09-23,6,2,0,0.00
2016-09-24,5,0,0,0.00
2016-09-25,8,3,0,0.00
2016-09-26,1,0,0,0.00
2016-09-27,222,112,1,196.50
2016-09-28,220,96,9,536.10
2016-09-29,103,37,0,0.00
2016-09-30,131,51,0,0.00
2016-10-01,88,35,0,0.00
2016-10-02,103,22,0,0.00
2016-10-03,114,42,0,0.00
2016-10-04,94,28,0,0.00
2016-10-05,141,49,0,0.00
2016-10-06,96,31,0,0.00
2016-10-07,92,36,0,0.00
2016-10-08,117,33,0,0.00
2016-10-09,589,164,0,0.00
2016-10-10,903,381,0,0.00
2016-10-11,793,327,4,612.30
2016-10-12,430,198,7,649.30
2016-10-13,308,145,9,692.80
2016-10-14,224,97,5,562.30
2016-10-15,220,104,0,0.00
2016-10-16,312,145,8,402.00
2016-10-17,329,140,12,985.00
2016-10-18,252,132,10,1042.35
2016-10-19,6,3,0,0.00
2016-10-20,413,201,11,868.00
2016-10-21,278,145,6,736.80
2016-10-22,202,112,3,947.20
2016-10-23,168,66,2,131.50
2016-10-24,268,105,11,1050.36
2016-10-25,321,120,20,1709.03
2016-10-26,318,120,17,1642.50
2016-10-27,252,104,6,594.20
2016-10-28,243,110,7,861.60
2016-10-29,267,96,7,586.50
2016-10-30,341,132,9,1659.80
2016-10-31,239,113,4,663.55
2016-11-01,230,116,7,456.85
2016-11-02,248,102,7,699.80
2016-11-03,283,122,5,443.40
2016-11-04,232,91,5,1075.30
2016-11-05,244,116,5,519.20
2016-11-06,289,119,13,1841.00
2016-11-07,238,96,6,1311.50
2016-11-08,281,98,13,1395.30
2016-11-09,199,72,8,1282.40
2016-11-10,157,61,5,552.40
2016-11-11,170,86,6,453.50
2016-11-12,225,87,8,1324.10
2016-11-13,205,97,8,347.20
2016-11-14,258,109,13,1625.30
2016-11-15,238,85,15,1517.65
2016-11-16,244,103,9,1696.60
2016-11-17,250,105,10,1020.90
2016-11-18,189,73,3,222.75
2016-11-19,173,83,3,573.60
2016-11-20,211,88,2,207.40
2016-11-21,329,123,9,1211.10
2016-11-22,260,104,8,1170.35
2016-11-23,217,79,7,485.00
2016-11-24,255,108,9,859.00
2016-11-25,262,94,14,878.43
2016-11-26,164,64,4,310.20
2016-11-27,203,79,4,599.40
2016-11-28,234,96,8,1028.90
2016-11-29,270,91,3,251.00
2016-11-30,215,106,2,434.15
2016-12-01,213,80,2,151.00
2016-12-02,215,103,5,960.15
2016-12-03,148,64,0,0.00
2016-12-04,198,88,6,449.40
2016-12-05,197,80,8,1101.20
2016-12-06,297,159,10,787.40
2016-12-07,285,178,8,2003.10
2016-12-08,236,155,1,63.50
2016-12-09,186,96,7,894.60
2016-12-10,154,78,0,0.00
2016-12-11,197,94,5,397.80
2016-12-12,214,92,11,832.70
2016-12-13,170,76,1,48.00
2016-12-14,157,60,7,749.65
2016-12-15,164,80,8,642.95
2016-12-16,126,59,1,53.00
2016-12-17,85,42,2,77.00
2016-12-18,155,72,2,195.80
2016-12-19,180,96,6,559.20
2016-12-20,167,84,5,800.80
2016-12-21,145,66,2,157.00
