date,sessions,bounces,orders,revenue
2016-05-05,22,5,0,0.00
2016-05-06,40,12,0,0.00
2016-05-07,16,6,0,0.00
2016-05-08,34,9,0,0.00
2016-05-09,62,31,2,214.00
2016-05-10,69,25,0,0.00
2016-05-11,46,25,0,0.00
2016-05-12,26,2,0,0.00
2016-05-13,15,5,0,0.00
2016-05-14,64,32,0,0.00
2016-05-15,53,34,0,0.00
2016-05-16,65,20,2,145.00
2016-05-17,37,10,0,0.00
2016-05-18,32,11,2,305.00
2016-05-19,28,9,0,0.00
2016-05-20,49,19,0,0.00
2016-05-21,48,18,0,0.00
2016-05-22,24,12,0,0.00
2016-05-23,76,32,1,23.20
2016-05-24,160,81,1,33.00
2016-05-25,122,56,0,0.00
2016-05-26,82,41,0,0.00
2016-05-27,77,28,1,41.50
2016-05-28,74,28,0,0.00
2016-05-29,91,30,3,154.70
2016-05-30,87,36,4,288.88
2016-05-31,79,28,1,115.00
2016-06-01,93,36,0,0.00
2016-06-02,92,33,2,183.00
2016-06-03,82,27,0,0.00
2016-06-04,50,27,0,0.00
2016-06-05,131,46,1,297.90
2016-06-06,142,47,0,0.00
2016-06-07,"1,044",266,8,906.69
2016-06-08,466,116,4,477.09
2016-06-09,351,107,6,729.49
2016-06-10,163,37,3,181.17
2016-06-11,125,38,0,0.00
2016-06-12,167,82,5,355.98
2016-06-13,140,43,1,40.00
2016-06-14,172,49,1,105.00
2016-06-15,120,43,2,158.10
2016-06-16,115,32,2,114.45
2016-06-17,127,38,3,257.95
2016-06-18,83,32,1,127.50
2016-06-19,86,28,1,448.88
2016-06-20,228,63,5,280.01
2016-06-21,197,90,4,139.40
2016-06-22,108,30,0,0.00
2016-06-23,84,22,6,643.50
2016-06-24,75,25,1,23.00
2016-06-25,60,20,1,127.10
2016-06-26,78,18,0,0.00
2016-06-27,94,27,1,52.50
2016-06-28,111,26,2,295.00
2016-06-29,110,49,1,26.65
2016-06-30,81,21,2,211.40
2016-07-01,55,24,0,0.00
2016-07-02,28,12,0,0.00
2016-07-03,45,14,0,0.00
2016-07-04,63,21,2,244.50
2016-07-05,61,12,4,278.95
2016-07-06,53,12,4,638.45
2016-07-07,65,19,0,0.00
2016-07-08,56,15,3,438.02
2016-07-09,53,16,3,252.05
2016-07-10,64,10,2,354.00
2016-07-11,104,27,5,524.50
2016-07-12,72,24,1,119.50
2016-07-13,109,41,5,286.95
2016-07-14,94,31,7,824.40
2016-07-15,77,17,3,338.70
2016-07-16,62,25,2,242.10
2016-07-17,69,21,2,138.90
2016-07-18,157,53,3,443.00
2016-07-19,154,67,1,174.50
2016-07-20,72,27,2,210.70
2016-07-21,79,26,1,65.00
2016-07-22,70,27,2,476.50
2016-07-23,405,171,0,0.00
2016-07-24,170,52,0,0.00
2016-07-25,169,44,4,475.80
2016-07-26,142,36,10,1593.00
2016-07-27,138,50,4,309.60
2016-07-28,85,23,3,364.10
2016-07-29,147,56,2,237.30
2016-07-30,77,25,3,460.40
2016-07-31,85,29,1,88.00
2016-08-01,120,32,5,466.90
2016-08-02,121,46,4,580.20
2016-08-03,131,39,4,685.50
2016-08-04,92,34,5,856.70
2016-08-05,24,11,3,190.85
2016-08-06,11,8,2,0.70
2016-08-07,25,12,0,0.00
2016-08-08,21,10,0,0.00
2016-08-09,19,6,0,0.00
2016-08-10,17,3,1,100.00
2016-08-11,16,7,0,0.00
2016-08-12,6,4,0,0.00
2016-08-13,14,5,1,302.00
2016-08-14,11,0,0,0.00
2016-08-15,11,1,3,393.60
2016-08-16,13,3,0,0.00
2016-08-17,14,2,2,238.75
2016-08-18,31,8,1,125.50
2016-08-19,23,2,1,115.70
2016-08-20,9,2,0,0.00
2016-08-21,11,4,0,0.00
2016-08-22,23,7,0,0.00
2016-08-23,15,7,1,59.00
2016-08-24,7,0,1,74.60
2016-08-25,13,2,2,465.30
2016-08-26,9,2,0,0.00
2016-08-27,1,0,0,0.00
