date,sessions,bounces,orders,revenue
2016-05-05,20,11,1,0.00
2016-05-06,41,24,1,0.00
2016-05-07,15,9,0,0.00
2016-05-08,40,29,1,0.00
2016-05-09,18,6,0,214.00
2016-05-10,43,24,0,0.00
2016-05-11,19,7,0,0.00
2016-05-12,44,16,1,0.00
2016-05-13,42,23,0,0.00
2016-05-14,26,7,0,0.00
2016-05-15,51,25,0,0.00
2016-05-16,49,26,0,145.00
2016-05-17,63,30,2,0.00
2016-05-18,74,45,0,305.00
2016-05-19,41,25,0,0.00
2016-05-20,61,34,0,0.00
2016-05-21,40,17,1,0.00
2016-05-22,23,11,1,0.00
2016-05-23,56,31,0,23.20
2016-05-24,63,35,1,33.00
2016-05-25,47,31,1,0.00
2016-05-26,48,26,0,0.00
2016-05-27,62,36,0,41.50
2016-05-28,52,25,0,0.00
2016-05-29,48,19,1,154.70
2016-05-30,90,46,0,288.88
2016-05-31,90,43,0,115.00
2016-06-01,66,37,0,0.00
2016-06-02,70,46,2,183.00
2016-06-03,54,28,1,0.00
2016-06-04,47,31,1,0.00
2016-06-05,89,43,1,297.90
2016-06-06,87,44,1,0.00
2016-06-07,107,55,0,906.69
2016-06-08,91,53,1,477.09
2016-06-09,93,50,1,729.49
2016-06-10,59,39,0,181.17
2016-06-11,56,32,0,0.00
2016-06-12,84,49,0,355.98
2016-06-13,103,54,2,40.00
2016-06-14,107,58,1,105.00
2016-06-15,107,51,2,158.10
2016-06-16,66,41,0,114.45
2016-06-17,80,42,0,257.95
2016-06-18,52,33,0,127.50
2016-06-19,82,44,0,448.88
2016-06-20,101,48,0,280.01
2016-06-21,89,52,2,139.40
2016-06-22,79,46,0,0.00
2016-06-23,83,51,1,643.50
2016-06-24,51,33,1,23.00
2016-06-25,35,22,0,127.10
2016-06-26,78,50,0,0.00
2016-06-27,121,69,0,52.50
2016-06-28,103,63,2,295.00
2016-06-29,102,50,2,26.65
2016-06-30,68,35,1,211.40
2016-07-01,71,39,2,0.00
