data,impressions,clicks,cost
2016-05-05,8,0,0.00
2016-05-06,91,4,3.12
2016-05-07,93,2,1.28
2016-05-08,105,1,0.34
2016-05-09,264,6,2.85
2016-05-10,1169,35,16.14
2016-05-11,1250,16,7.21
2016-05-12,1604,36,20.49
2016-05-13,1511,34,20.79
2016-05-14,1333,17,10.38
2016-05-15,1663,37,22.25
2016-05-16,1806,40,25.47
2016-05-17,2118,54,31.79
2016-05-18,2792,67,39.62
2016-05-19,2304,42,25.88
2016-05-20,2036,48,25.55
2016-05-21,1450,34,20.85
2016-05-22,1937,20,11.57
2016-05-23,2671,47,30.36
2016-05-24,2619,53,32.90
2016-05-25,2213,45,25.26
2016-05-26,2091,45,26.50
2016-05-27,2673,59,35.46
2016-05-28,2545,45,28.76
2016-05-29,2624,48,32.69
2016-05-30,2772,77,51.04
2016-05-31,3299,75,46.59
2016-06-01,3157,65,42.11
2016-06-02,2675,64,42.78
2016-06-03,2270,53,31.94
2016-06-04,2021,40,25.67
2016-06-05,2838,76,44.83
2016-06-06,3026,78,52.94
2016-06-07,2679,89,59.30
2016-06-08,4214,86,54.57
2016-06-09,3163,78,48.95
2016-06-10,3362,55,34.66
2016-06-11,2241,54,34.50
2016-06-12,2654,68,41.80
2016-06-13,3582,91,53.19
2016-06-14,3243,90,51.67
2016-06-15,3320,92,53.54
2016-06-16,3221,55,33.81
2016-06-17,3314,71,42.85
2016-06-18,2129,45,28.05
2016-06-19,3027,67,40.26
2016-06-20,3808,86,57.02
2016-06-21,3995,86,56.72
2016-06-22,3387,78,53.40
2016-06-23,3183,70,45.61
2016-06-24,2377,46,30.57
2016-06-25,1648,32,22.80
2016-06-26,2793,66,39.50
2016-06-27,3975,101,65.74
2016-06-28,3766,77,52.12
2016-06-29,3616,93,57.52
2016-06-30,2744,63,40.21
2016-07-01,2639,60,40.07
2016-07-02,2019,56,38.94
2016-07-03,3286,75,51.52
2016-07-04,3141,90,59.53
2016-07-05,3826,91,62.81
2016-07-06,3451,94,61.13
2016-07-07,3490,80,51.42
2016-07-08,2962,69,42.73
2016-07-09,2783,70,42.07
2016-07-10,2897,71,46.93
2016-07-11,2834,89,58.08
2016-07-12,4142,95,60.43
2016-07-13,3622,97,59.32
2016-07-14,3578,87,50.22
2016-07-15,3470,99,59.81
2016-07-16,2640,67,31.73
2016-07-17,2771,90,53.01
2016-07-18,4167,111,65.15
2016-07-19,70,3,1.39
2016-07-20,55,1,0.72
2016-07-21,3126,85,52.42
2016-07-22,3397,91,55.75
2016-07-23,2618,63,40.90
2016-07-24,3472,89,56.58
2016-07-25,3802,100,64.09
2016-07-26,3910,99,61.38
2016-07-27,3543,101,59.94
2016-07-28,3761,94,56.86
2016-07-29,4027,92,57.04
2016-07-30,2611,74,43.58
2016-07-31,3292,78,41.14
2016-08-01,3269,97,58.25
2016-08-02,3360,96,59.07
2016-08-03,2814,88,60.93
2016-08-04,3658,93,55.85
2016-08-05,3646,83,54.11
2016-08-06,3300,68,43.59
2016-08-07,3267,81,49.09
